st	accession	sp	gn
Abditibacterium_utsteinense	GCF_002973605.1	Abditibacterium utsteinense	Abditibacterium
Abiotrophia_defectiva_ATCC_49176	GCF_000160075.2	Abiotrophia defectiva	Abiotrophia
Absiella_dolichum_DSM_3991	GCF_000154285.1	Absiella dolichum	Absiella
Abyssibacter_profundi	GCF_003151135.1	Abyssibacter profundi	Abyssibacter
Abyssicoccus_albus	GCF_003815035.1	Abyssicoccus albus	Abyssicoccus
Acaricomes_phytoseiuli_DSM_14247	GCF_000376245.1	Acaricomes phytoseiuli	Acaricomes
Acaryochloris_marina_MBIC11017	GCF_000018105.1	Acaryochloris marina	Acaryochloris
Acetanaerobacterium_elongatum	GCF_900103835.1	Acetanaerobacterium elongatum	Acetanaerobacterium
Acetatifactor_muris	GCF_900248245.1	Acetatifactor muris	Acetatifactor
Acetitomaculum_ruminis_DSM_5522	GCF_900112085.1	Acetitomaculum ruminis	Acetitomaculum
Acetivibrio_ethanolgignens	GCF_001461035.1	Acetivibrio ethanolgignens	Acetivibrio
Acetoanaerobium_sticklandii	GCF_000196455.1	Acetoanaerobium sticklandii	Acetoanaerobium
Acetobacter_senegalensis	GCF_001499615.1	Acetobacter senegalensis	Acetobacter
Acetobacteraceae_bacterium_DB1506	GCF_003258945.1	Acetobacteraceae bacterium	Acetobacteraceae
Acetobacterium_bakii	GCF_001263355.1	Acetobacterium bakii	Acetobacterium
Acetohalobium_arabaticum_DSM_5501	GCF_000144695.1	Acetohalobium arabaticum	Acetohalobium
Acetomicrobium_hydrogeniformans_ATCC_BAA-1850	GCF_000160455.2	Acetomicrobium hydrogeniformans	Acetomicrobium
Acetonema_longum_DSM_6540	GCF_000219125.1	Acetonema longum	Acetonema
Acholeplasma_granularum_ATCC_19168	GCF_000526235.1	Acholeplasma granularum	Acholeplasma
Achromobacter_xylosoxidans	GCF_001457475.1	Achromobacter xylosoxidans	Achromobacter
Acidaminobacter_hydrogenoformans_DSM_2784	GCF_900103005.1	Acidaminobacter hydrogenoformans	Acidaminobacter
Acidaminococcus_timonensis	GCF_900106585.1	Acidaminococcus timonensis	Acidaminococcus
Acidibacillus_ferrooxidans	GCF_001642725.1	Acidibacillus ferrooxidans	Acidibacillus
Acidiferrobacter_thiooxydans	GCF_001705075.1	Acidiferrobacter thiooxydans	Acidiferrobacter
Acidihalobacter_ferrooxidans	GCF_001975725.1	Acidihalobacter ferrooxidans	Acidihalobacter
Acidimicrobium_ferrooxidans_DSM_10331	GCF_000023265.1	Acidimicrobium ferrooxidans	Acidimicrobium
Acidiphilium_multivorum_AIU301	GCF_000202835.1	Acidiphilium multivorum	Acidiphilium
Acidipila_sp._4G-K13	GCF_003428625.1	Acidipila sp.	Acidipila
Acidipropionibacterium_jensenii_DSM_20535	GCF_000425285.1	Acidipropionibacterium jensenii	Acidipropionibacterium
Acidisphaera_rubrifaciens_HS-AP3	GCF_000964365.1	Acidisphaera rubrifaciens	Acidisphaera
Acidithiobacillus_thiooxidans_ATCC_19377	GCF_000227215.1	Acidithiobacillus thiooxidans	Acidithiobacillus
Acidithrix_ferrooxidans	GCF_000949295.1	Acidithrix ferrooxidans	Acidithrix
Acidobacteria_bacterium_KBS_146	GCF_000688615.1	Acidobacteria bacterium	Acidobacteria
Acidobacteriaceae_bacterium_URHE0068	GCF_000620725.1	Acidobacteriaceae bacterium	Acidobacteriaceae
Acidobacterium_capsulatum_ATCC_51196	GCF_000022565.1	Acidobacterium capsulatum	Acidobacterium
Acidocella_facilis_ATCC_35904	GCF_000687875.1	Acidocella facilis	Acidocella
Acidomonas_methanolica_NBRC_104435	GCF_000617865.1	Acidomonas methanolica	Acidomonas
Acidothermus_cellulolyticus_11B	GCF_000015025.1	Acidothermus cellulolyticus	Acidothermus
Acidovorax_konjaci	GCF_900112675.1	Acidovorax konjaci	Acidovorax
Acinetobacter_radioresistens_DSM_6976_=_NBRC_102413_=_CIP_103788	GCF_000368905.1	Acinetobacter radioresistens	Acinetobacter
Actibacterium_mucosum_KCTC_23349	GCF_000647975.1	Actibacterium mucosum	Actibacterium
Actinoalloteichus_hoggarensis	GCF_002234535.1	Actinoalloteichus hoggarensis	Actinoalloteichus
Actinobacillus_succinogenes_130Z	GCF_000017245.1	Actinobacillus succinogenes	Actinobacillus
Actinobacteria_bacterium_IMCC26207	GCF_001025035.1	Actinobacteria bacterium	Actinobacteria
Actinobaculum_suis	GCF_900102025.1	Actinobaculum suis	Actinobaculum
Actinocatenispora_sera	GCF_000720965.1	Actinocatenispora sera	Actinocatenispora
Actinocorallia_populi	GCF_002995495.1	Actinocorallia populi	Actinocorallia
Actinokineospora_inagensis_DSM_44258	GCF_000482865.1	Actinokineospora inagensis	Actinokineospora
Actinomadura_rifamycini_DSM_43936	GCF_000425065.1	Actinomadura rifamycini	Actinomadura
Actinomyces_oris	GCF_001553935.1	Actinomyces oris	Actinomyces
Actinomycetaceae_bacterium_sk1b4	GCF_003123745.1	Actinomycetaceae bacterium	Actinomycetaceae
Actinomycetales_bacterium_SN12	GCF_002837415.1	Actinomycetales bacterium	Actinomycetales
Actinomycetospora_chiangmaiensis_DSM_45062	GCF_000379625.1	Actinomycetospora chiangmaiensis	Actinomycetospora
Actinophytocola_xanthii	GCF_001921205.1	Actinophytocola xanthii	Actinophytocola
Actinoplanes_rectilineatus	GCF_000962825.1	Actinoplanes rectilineatus	Actinoplanes
Actinopolymorpha_alba_DSM_45243	GCF_000373925.1	Actinopolymorpha alba	Actinopolymorpha
Actinopolyspora_mortivallis_DSM_44261	GCF_000384035.1	Actinopolyspora mortivallis	Actinopolyspora
Actinospica_robiniae_DSM_44927	GCF_000504285.1	Actinospica robiniae	Actinospica
Actinosynnema_mirum_DSM_43827	GCF_000023245.1	Actinosynnema mirum	Actinosynnema
Actinotalea_ferrariae_CF5-4	GCF_000603945.1	Actinotalea ferrariae	Actinotalea
Actinotignum_schaalii	GCF_000724605.1	Actinotignum schaalii	Actinotignum
Acutalibacter_muris	GCF_002201475.1	Acutalibacter muris	Acutalibacter
Acuticoccus_yangtzensis	GCF_001927245.1	Acuticoccus yangtzensis	Acuticoccus
Adhaeribacter_aquaticus_DSM_16391	GCF_000473365.1	Adhaeribacter aquaticus	Adhaeribacter
Adlercreutzia_equolifaciens_DSM_19450	GCF_000478885.1	Adlercreutzia equolifaciens	Adlercreutzia
Advenella_mimigardefordensis_DPN7	GCF_000521505.1	Advenella mimigardefordensis	Advenella
Aequorivita_sublithincola_DSM_14238	GCF_000265385.1	Aequorivita sublithincola	Aequorivita
Aeribacillus_pallidus	GCF_001629795.1	Aeribacillus pallidus	Aeribacillus
Aeriscardovia_aeriphila	GCF_002259595.1	Aeriscardovia aeriphila	Aeriscardovia
Aerococcaceae_bacterium_ZY16052	GCF_003546865.1	Aerococcaceae bacterium	Aerococcaceae
Aerococcus_urinae	GCF_001543175.1	Aerococcus urinae	Aerococcus
Aeromicrobium_massiliense_JC14	GCF_000312105.1	Aeromicrobium massiliense	Aeromicrobium
Aeromonas_simiae	GCF_000820125.1	Aeromonas simiae	Aeromonas
Aestuariibacter_aggregatus	GCF_900129565.1	Aestuariibacter aggregatus	Aestuariibacter
Aestuariimicrobium_kwangyangense_DSM_21549	GCF_000421525.1	Aestuariimicrobium kwangyangense	Aestuariimicrobium
Aestuariispira_insulae	GCF_003385955.1	Aestuariispira insulae	Aestuariispira
Aestuariivita_boseongensis	GCF_001262635.1	Aestuariivita boseongensis	Aestuariivita
Afifella_marina_DSM_2698	GCF_900102695.1	Afifella marina	Afifella
Afipia_clevelandensis_ATCC_49720	GCF_000336555.1	Afipia clevelandensis	Afipia
Agaribacterium_haliotis	GCF_002312815.1	Agaribacterium haliotis	Agaribacterium
Agarilytica_rhodophyticola	GCF_002157225.2	Agarilytica rhodophyticola	Agarilytica
Agarivorans_gilvus	GCF_001420915.1	Agarivorans gilvus	Agarivorans
Agathobacter_ruminis	GCF_002735305.1	Agathobacter ruminis	Agathobacter
Agathobaculum_desmolans_ATCC_43058	GCF_000701665.1	Agathobaculum desmolans	Agathobaculum
Aggregatibacter_actinomycetemcomitans	GCF_001594265.1	Aggregatibacter actinomycetemcomitans	Aggregatibacter
Agitococcus_lubricus	GCF_003051055.1	Agitococcus lubricus	Agitococcus
Agreia_bicolorata	GCF_000938265.1	Agreia bicolorata	Agreia
Agrobacterium_fabrum_str._C58	GCF_000092025.1	Agrobacterium fabrum	Agrobacterium
Agrococcus_baldri	GCF_900114805.1	Agrococcus baldri	Agrococcus
Agromyces_cerinus_subsp._cerinus	GCF_900142065.1	Agromyces cerinus	Agromyces
Ahniella_affigens	GCF_003015185.1	Ahniella affigens	Ahniella
Ahrensia_kielensis_DSM_5890	GCF_000374465.1	Ahrensia kielensis	Ahrensia
Aidingimonas_halophila	GCF_900106955.1	Aidingimonas halophila	Aidingimonas
Akkermansia_glycaniphila	GCF_900097105.1	Akkermansia glycaniphila	Akkermansia
Albidiferax_sp._OV413	GCF_900104385.1	Albidiferax sp.	Albidiferax
Albidovulum_xiamenense	GCF_900102905.1	Albidovulum xiamenense	Albidovulum
Albimonas_donghaensis	GCF_900106695.1	Albimonas donghaensis	Albimonas
Alcaligenes_faecalis	GCF_000967305.2	Alcaligenes faecalis	Alcaligenes
Alcanivorax_jadensis_T9	GCF_000756655.1	Alcanivorax jadensis	Alcanivorax
Algibacter_lectus	GCF_900112395.1	Algibacter lectus	Algibacter
Algicola_sagamiensis_DSM_14643	GCF_000374485.1	Algicola sagamiensis	Algicola
Algiphilus_aromaticivorans_DG1253	GCF_000733765.1	Algiphilus aromaticivorans	Algiphilus
Algoriella_xinjiangensis	GCF_900115015.1	Algoriella xinjiangensis	Algoriella
Algoriphagus_marincola_DSM_16067	GCF_000429405.1	Algoriphagus marincola	Algoriphagus
Aliagarivorans_marinus_DSM_23064	GCF_000429485.1	Aliagarivorans marinus	Aliagarivorans
Alicycliphilus_denitrificans_K601	GCF_000204645.1	Alicycliphilus denitrificans	Alicycliphilus
Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_DSM_446	GCF_000024285.1	Alicyclobacillus acidocaldarius	Alicyclobacillus
Aliiarcobacter_faecis	GCF_000585155.1	Aliiarcobacter faecis	Aliiarcobacter
Aliicoccus_persicus	GCF_900110815.1	Aliicoccus persicus	Aliicoccus
Aliidiomarina_minuta	GCF_003987145.1	Aliidiomarina minuta	Aliidiomarina
Aliifodinibius_roseus	GCF_900129315.1	Aliifodinibius roseus	Aliifodinibius
Aliiglaciecola_lipolytica_E3	GCF_000314975.1	Aliiglaciecola lipolytica	Aliiglaciecola
Aliihoeflea_sp._2WW	GCF_000497755.1	Aliihoeflea sp.	Aliihoeflea
Aliiroseovarius_sediminilitoris	GCF_900109955.1	Aliiroseovarius sediminilitoris	Aliiroseovarius
Aliivibrio_fischeri_ES114	GCF_000011805.1	Aliivibrio fischeri	Aliivibrio
Alishewanella_agri_BL06	GCF_000272005.1	Alishewanella agri	Alishewanella
Alistipes_shahii_WAL_8301	GCF_000210575.1	Alistipes shahii	Alistipes
Aliterella_atlantica_CENA595	GCF_000952155.1	Aliterella atlantica	Aliterella
Alkalibacillus_haloalkaliphilus_C5	GCF_000269905.1	Alkalibacillus haloalkaliphilus	Alkalibacillus
Alkalibacter_saccharofermentans_DSM_14828	GCF_900128885.1	Alkalibacter saccharofermentans	Alkalibacter
Alkalibacterium_gilvum	GCF_900109085.1	Alkalibacterium gilvum	Alkalibacterium
Alkalibaculum_bacchi	GCF_003317055.1	Alkalibaculum bacchi	Alkalibaculum
Alkalicoccus_saliphilus	GCF_003044065.1	Alkalicoccus saliphilus	Alkalicoccus
Alkaliflexus_imshenetskii_DSM_15055	GCF_000517065.1	Alkaliflexus imshenetskii	Alkaliflexus
Alkalilimnicola_ehrlichii_MLHE-1	GCF_000014785.1	Alkalilimnicola ehrlichii	Alkalilimnicola
Alkalimonas_amylolytica	GCF_900107845.1	Alkalimonas amylolytica	Alkalimonas
Alkaliphilus_oremlandii_OhILAs	GCF_000018325.1	Alkaliphilus oremlandii	Alkaliphilus
Alkalispirillum_mobile	GCF_003664325.1	Alkalispirillum mobile	Alkalispirillum
Alkalispirochaeta_americana	GCF_900156105.1	Alkalispirochaeta americana	Alkalispirochaeta
Alkalitalea_saponilacus	GCF_002201795.1	Alkalitalea saponilacus	Alkalitalea
Alkanindiges_illinoisensis_DSM_15370	GCF_000619845.1	Alkanindiges illinoisensis	Alkanindiges
Allisonella_histaminiformans	GCF_900103425.1	Allisonella histaminiformans	Allisonella
Alloactinosynnema_iranicum	GCF_900101685.1	Alloactinosynnema iranicum	Alloactinosynnema
Allobaculum_stercoricanis_DSM_13633	GCF_000384195.1	Allobaculum stercoricanis	Allobaculum
Allochromatium_warmingii	GCF_900107145.1	Allochromatium warmingii	Allochromatium
Allofrancisella_guangzhouensis	GCF_000815225.1	Allofrancisella guangzhouensis	Allofrancisella
Allofustis_seminis_DSM_15817	GCF_000374325.1	Allofustis seminis	Allofustis
Alloiococcus_otitis_ATCC_51267	GCF_000315445.1	Alloiococcus otitis	Alloiococcus
Allokutzneria_albata	GCF_900103775.1	Allokutzneria albata	Allokutzneria
Allonocardiopsis_opalescens	GCF_003002095.1	Allonocardiopsis opalescens	Allonocardiopsis
Alloprevotella_rava_F0323	GCF_000234115.1	Alloprevotella rava	Alloprevotella
Allosalinactinospora_lopnorensis	GCF_000981225.1	Allosalinactinospora lopnorensis	Allosalinactinospora
Alloscardovia_criceti_DSM_17774	GCF_000376885.1	Alloscardovia criceti	Alloscardovia
alpha_proteobacterium_AAP38	GCF_001296005.1	alpha proteobacterium	alpha
Alphaproteobacteria_bacterium_WS11	GCF_003952725.1	Alphaproteobacteria bacterium	Alphaproteobacteria
Altererythrobacter_troitsensis	GCF_001441535.1	Altererythrobacter troitsensis	Altererythrobacter
Alteribacillus_iranensis	GCF_900113025.1	Alteribacillus iranensis	Alteribacillus
Alteromonadaceae_bacterium_XY-R5	GCF_001660395.1	Alteromonadaceae bacterium	Alteromonadaceae
Alteromonadales_bacterium_BS08	GCF_001922955.1	Alteromonadales bacterium	Alteromonadales
Alteromonas_confluentis	GCF_001757105.1	Alteromonas confluentis	Alteromonas
Altibacter_lentus	GCF_000746845.1	Altibacter lentus	Altibacter
Alysiella_crassa_DSM_2578	GCF_000745955.1	Alysiella crassa	Alysiella
Amantichitinum_ursilacus	GCF_001294205.1	Amantichitinum ursilacus	Amantichitinum
Aminiphilus_circumscriptus_DSM_16581	GCF_000526375.1	Aminiphilus circumscriptus	Aminiphilus
Aminipila_sp._JN-39	GCF_004103735.1	Aminipila sp.	Aminipila
Aminobacter_aminovorans	GCF_001605015.1	Aminobacter aminovorans	Aminobacter
Aminobacterium_mobile_DSM_12262	GCF_000526395.1	Aminobacterium mobile	Aminobacterium
Aminomonas_paucivorans_DSM_12260	GCF_000165795.1	Aminomonas paucivorans	Aminomonas
Ammonifex_degensii_KC4	GCF_000024605.1	Ammonifex degensii	Ammonifex
Ammoniphilus_sp._CFH_90114	GCF_004123195.1	Ammoniphilus sp.	Ammoniphilus
Amnibacterium_sp._DD4a	GCF_003581425.1	Amnibacterium sp.	Amnibacterium
Amorphus_coralli_DSM_19760	GCF_000374525.1	Amorphus coralli	Amorphus
Amphibacillus_marinus	GCF_900110345.1	Amphibacillus marinus	Amphibacillus
Amphiplicatus_metriothermophilus	GCF_900199215.1	Amphiplicatus metriothermophilus	Amphiplicatus
Amphritea_atlantica	GCF_900111095.1	Amphritea atlantica	Amphritea
Amycolatopsis_australiensis	GCF_900119165.1	Amycolatopsis australiensis	Amycolatopsis
Amylibacter_cionae	GCF_002860325.1	Amylibacter cionae	Amylibacter
Anabaena_cylindrica_PCC_7122	GCF_000317695.1	Anabaena cylindrica	Anabaena
Anabaenopsis_circularis_NIES-21	GCF_002367975.1	Anabaenopsis circularis	Anabaenopsis
Anaeroarcus_burkinensis_DSM_6283	GCF_000430605.1	Anaeroarcus burkinensis	Anaeroarcus
Anaerobacillus_arseniciselenatis	GCF_001865995.1	Anaerobacillus arseniciselenatis	Anaerobacillus
Anaerobacterium_chartisolvens	GCF_003337415.1	Anaerobacterium chartisolvens	Anaerobacterium
anaerobic_bacterium_MO-CFX2	GCF_003569045.1	anaerobic bacterium	anaerobic
Anaerobiospirillum_succiniciproducens_DSM_6400	GCF_000482845.1	Anaerobiospirillum succiniciproducens	Anaerobiospirillum
Anaerobium_acetethylicum	GCF_900096945.1	Anaerobium acetethylicum	Anaerobium
Anaerobranca_californiensis_DSM_14826	GCF_900142275.1	Anaerobranca californiensis	Anaerobranca
Anaerococcus_mediterraneensis	GCF_900128415.1	Anaerococcus mediterraneensis	Anaerococcus
Anaerocolumna_jejuensis_DSM_15929	GCF_900142215.1	Anaerocolumna jejuensis	Anaerocolumna
Anaerofilum_sp._An201	GCF_002160015.1	Anaerofilum sp.	Anaerofilum
Anaerofustis_stercorihominis_DSM_17244	GCF_000154825.1	Anaerofustis stercorihominis	Anaerofustis
Anaeroglobus_geminatus_F0357	GCF_000239275.1	Anaeroglobus geminatus	Anaeroglobus
Anaerolinea_thermophila_UNI-1	GCF_000199675.1	Anaerolinea thermophila	Anaerolinea
Anaerolineaceae_bacterium_oral_taxon_439	GCF_001717545.1	Anaerolineaceae bacterium	Anaerolineaceae
Anaeromassilibacillus_senegalensis	GCF_001261775.1	Anaeromassilibacillus senegalensis	Anaeromassilibacillus
Anaeromicrobium_sediminis	GCF_002270055.1	Anaeromicrobium sediminis	Anaeromicrobium
Anaeromusa_acidaminophila_DSM_3853	GCF_000374545.1	Anaeromusa acidaminophila	Anaeromusa
Anaeromyxobacter_dehalogenans_2CP-1	GCF_000022145.1	Anaeromyxobacter dehalogenans	Anaeromyxobacter
Anaerophaga_thermohalophila_DSM_12881	GCF_000191885.1	Anaerophaga thermohalophila	Anaerophaga
Anaeroplasma_bactoclasticum	GCF_003550015.1	Anaeroplasma bactoclasticum	Anaeroplasma
Anaerorhabdus_furcosa	GCF_900167375.1	Anaerorhabdus furcosa	Anaerorhabdus
Anaerosalibacter_massiliensis	GCF_000751555.1	Anaerosalibacter massiliensis	Anaerosalibacter
Anaerosphaera_aminiphila_DSM_21120	GCF_900129925.1	Anaerosphaera aminiphila	Anaerosphaera
Anaerosporobacter_mobilis_DSM_15930	GCF_900142955.1	Anaerosporobacter mobilis	Anaerosporobacter
Anaerosporomusa_subterranea	GCF_001611555.1	Anaerosporomusa subterranea	Anaerosporomusa
Anaerostipes_caccae_DSM_14662	GCF_000154305.1	Anaerostipes caccae	Anaerostipes
Anaerotignum_propionicum_DSM_1682	GCF_001561955.1	Anaerotignum propionicum	Anaerotignum
Anaerotruncus_rubiinfantis	GCF_900078395.1	Anaerotruncus rubiinfantis	Anaerotruncus
Anaerovibrio_lipolyticus_DSM_3074	GCF_900141865.1	Anaerovibrio lipolyticus	Anaerovibrio
Anaerovirgula_multivorans	GCF_900188145.1	Anaerovirgula multivorans	Anaerovirgula
Anaerovorax_odorimutans_DSM_5092	GCF_000426305.1	Anaerovorax odorimutans	Anaerovorax
Anaplasma_phagocytophilum_str._HZ	GCF_000013125.1	Anaplasma phagocytophilum	Anaplasma
Ancylobacter_rudongensis	GCF_900100155.1	Ancylobacter rudongensis	Ancylobacter
Ancylomarina_sp._SHSM-M15	GCF_004122035.1	Ancylomarina sp.	Ancylomarina
Anderseniella_sp._Alg231-50	GCF_900149695.1	Anderseniella sp.	Anderseniella
Anditalea_andensis	GCF_000714815.1	Anditalea andensis	Anditalea
Andreesenia_angusta	GCF_001855385.1	Andreesenia angusta	Andreesenia
Andreprevotia_chitinilytica_DSM_18519	GCF_000711875.1	Andreprevotia chitinilytica	Andreprevotia
Aneurinibacillus_migulanus	GCF_001274715.1	Aneurinibacillus migulanus	Aneurinibacillus
Angelakisella_massiliensis	GCF_900104675.1	Angelakisella massiliensis	Angelakisella
Angustibacter_sp._Root456	GCF_001426435.1	Angustibacter sp.	Angustibacter
Anoxybacillus_amylolyticus	GCF_001634285.1	Anoxybacillus amylolyticus	Anoxybacillus
Anoxybacter_fermentans	GCF_003991135.1	Anoxybacter fermentans	Anoxybacter
Antarctobacter_heliothermus	GCF_900188425.1	Antarctobacter heliothermus	Antarctobacter
Antricoccus_suffuscus	GCF_003003235.1	Antricoccus suffuscus	Antricoccus
Aphanizomenon_flos-aquae_NIES-81	GCF_000521175.1	Aphanizomenon flos-aquae	Aphanizomenon
Aphanothece_hegewaldii_CCALA_016	GCF_003007785.1	Aphanothece hegewaldii	Aphanothece
Apibacter_mensalis	GCF_001418685.1	Apibacter mensalis	Apibacter
Aquabacter_sp._Sn-9-2	GCF_003993795.1	Aquabacter sp.	Aquabacter
Aquabacterium_parvum	GCF_001447195.1	Aquabacterium parvum	Aquabacterium
Aquamicrobium_aerolatum_DSM_21857	GCF_900113935.1	Aquamicrobium aerolatum	Aquamicrobium
Aquaspirillum_serpens_DSM_68	GCF_000420525.1	Aquaspirillum serpens	Aquaspirillum
Aquicella_lusitana	GCF_003350455.1	Aquicella lusitana	Aquicella
Aquidulcibacter_paucihalophilus	GCF_002105465.1	Aquidulcibacter paucihalophilus	Aquidulcibacter
Aquifex_aeolicus_VF5	GCF_000008625.1	Aquifex aeolicus	Aquifex
Aquiflexum_balticum_DSM_16537	GCF_900176595.1	Aquiflexum balticum	Aquiflexum
Aquimarina_agarilytica_ZC1	GCF_000255455.1	Aquimarina agarilytica	Aquimarina
Aquimixticola_soesokkakensis	GCF_900172375.1	Aquimixticola soesokkakensis	Aquimixticola
Aquimonas_voraii	GCF_900101825.1	Aquimonas voraii	Aquimonas
Aquincola_tertiaricarbonis	GCF_000969605.1	Aquincola tertiaricarbonis	Aquincola
Aquisalibacillus_elongatus	GCF_003843875.1	Aquisalibacillus elongatus	Aquisalibacillus
Aquisalimonas_asiatica	GCF_900110585.1	Aquisalimonas asiatica	Aquisalimonas
Aquitalea_pelogenes	GCF_001515305.1	Aquitalea pelogenes	Aquitalea
Arabia_massiliensis	GCF_900169505.1	Arabia massiliensis	Arabia
Arachidicoccus_rhizosphaerae	GCF_900107765.1	Arachidicoccus rhizosphaerae	Arachidicoccus
Arboricoccus_pini	GCF_900187945.1	Arboricoccus pini	Arboricoccus
Arcanobacterium_haemolyticum_DSM_20595	GCF_000092365.1	Arcanobacterium haemolyticum	Arcanobacterium
Archangium_gephyra	GCF_001027285.1	Archangium gephyra	Archangium
Arcicella_aurantiaca	GCF_003148625.1	Arcicella aurantiaca	Arcicella
Arcobacter_skirrowii	GCF_001572925.1	Arcobacter skirrowii	Arcobacter
Arcticibacter_svalbardensis_MN12-7	GCF_000403135.1	Arcticibacter svalbardensis	Arcticibacter
Arcticibacterium_luteifluviistationis	GCF_003258705.1	Arcticibacterium luteifluviistationis	Arcticibacterium
Ardenticatena_maritima	GCF_001293545.1	Ardenticatena maritima	Ardenticatena
Arenibacter_algicola	GCF_002234495.1	Arenibacter algicola	Arenibacter
Arenicella_xantha	GCF_003315245.1	Arenicella xantha	Arenicella
Arenimonas_composti_TR7-09_=_DSM_18010	GCF_000426365.1	Arenimonas composti	Arenimonas
Arenitalea_lutea	GCF_000283015.1	Arenitalea lutea	Arenitalea
Arhodomonas_aquaeolei_DSM_8974	GCF_000374645.1	Arhodomonas aquaeolei	Arhodomonas
Aromatoleum_aromaticum_EbN1	GCF_000025965.1	Aromatoleum aromaticum	Aromatoleum
Arsenicibacter_rosenii	GCF_001870735.1	Arsenicibacter rosenii	Arsenicibacter
Arsenicicoccus_bolidensis_DSM_15745	GCF_000426385.1	Arsenicicoccus bolidensis	Arsenicicoccus
Arsenicitalea_aurantiaca	GCF_003994485.1	Arsenicitalea aurantiaca	Arsenicitalea
Arsukibacterium_ikkense	GCF_000987775.1	Arsukibacterium ikkense	Arsukibacterium
Arthrobacter_castelli_DSM_16402	GCF_000430705.1	Arthrobacter castelli	Arthrobacter
Arthrospira_platensis_NIES-39	GCF_000210375.1	Arthrospira platensis	Arthrospira
Asaccharobacter_celatus	GCF_003340305.1	Asaccharobacter celatus	Asaccharobacter
Asaccharospora_irregularis_DSM_2635	GCF_900129815.1	Asaccharospora irregularis	Asaccharospora
Asaia_astilbis_JCM_15831	GCF_000613845.1	Asaia astilbis	Asaia
Asanoa_ishikariensis	GCF_900107455.1	Asanoa ishikariensis	Asanoa
Ascidiaceihabitans_donghaensis	GCF_900302465.1	Ascidiaceihabitans donghaensis	Ascidiaceihabitans
Asinibacterium_sp._OR53	GCF_000515315.1	Asinibacterium sp.	Asinibacterium
Asticcacaulis_benevestitus_DSM_16100_=_ATCC_BAA-896	GCF_000376105.1	Asticcacaulis benevestitus	Asticcacaulis
Atlantibacter_hermannii_NBRC_105704	GCF_000248015.1	Atlantibacter hermannii	Atlantibacter
Atopobacter_phocae_ATCC_BAA-285	GCF_000526675.1	Atopobacter phocae	Atopobacter
Atopobium_fossor_DSM_15642	GCF_000483125.1	Atopobium fossor	Atopobium
Atopococcus_tabaci_DSM_17538	GCF_000429585.1	Atopococcus tabaci	Atopococcus
Atopostipes_suicloacalis_DSM_15692	GCF_900129085.1	Atopostipes suicloacalis	Atopostipes
Atribacteria_bacterium_JGI_0000014-F07	GCF_001006965.1	Atribacteria bacterium	Atribacteria
Aulosira_laxa_NIES-50	GCF_002368055.1	Aulosira laxa	Aulosira
Aurantimicrobium_minutum	GCF_002355535.1	Aurantimicrobium minutum	Aurantimicrobium
Aurantimonas_manganoxydans_SI85-9A1	GCF_000153465.1	Aurantimonas manganoxydans	Aurantimonas
Auraticoccus_monumenti	GCF_900101785.1	Auraticoccus monumenti	Auraticoccus
Aureicoccus_marinus	GCF_002954325.1	Aureicoccus marinus	Aureicoccus
Aureimonas_phyllosphaerae	GCF_900113065.1	Aureimonas phyllosphaerae	Aureimonas
Aureispira_sp._CCB-QB1	GCF_000724545.1	Aureispira sp.	Aureispira
Aureitalea_marina	GCF_002943755.1	Aureitalea marina	Aureitalea
Auricoccus_indicus	GCF_001989575.1	Auricoccus indicus	Auricoccus
Auritidibacter_sp._NML120779	GCF_003185955.1	Auritidibacter sp.	Auritidibacter
Austwickia_chelonae_NBRC_105200	GCF_000298175.1	Austwickia chelonae	Austwickia
Avibacterium_paragallinarum_JF4211	GCF_000442905.1	Avibacterium paragallinarum	Avibacterium
Azoarcus_olearius	GCF_001682385.1	Azoarcus olearius	Azoarcus
Azohydromonas_lata_NBRC_102462	GCF_001571085.1	Azohydromonas lata	Azohydromonas
Azonexus_hydrophilus_DSM_23864	GCF_000429605.1	Azonexus hydrophilus	Azonexus
Azorhizobium_doebereinerae_UFLA1-100	GCF_000473085.1	Azorhizobium doebereinerae	Azorhizobium
Azospira_oryzae_PS	GCF_000236665.1	Azospira oryzae	Azospira
Azospirillum_brasilense	GCF_001315015.1	Azospirillum brasilense	Azospirillum
Azotobacter_chroococcum_NCIMB_8003	GCF_000817975.1	Azotobacter chroococcum	Azotobacter
Azovibrio_restrictus_DSM_23866	GCF_000429665.1	Azovibrio restrictus	Azovibrio
Bacillaceae_bacterium_SAS-127	GCF_002261155.1	Bacillaceae bacterium	Bacillaceae
Bacilli_bacterium	GCF_003335555.1	Bacilli bacterium	Bacilli
Bacillus_filamentosus	GCF_900177535.1	Bacillus filamentosus	Bacillus
Bacterioplanes_sanyensis	GCF_002237535.1	Bacterioplanes sanyensis	Bacterioplanes
Bacteriovorax_stolpii	GCF_002872415.1	Bacteriovorax stolpii	Bacteriovorax
bacterium_336/3	GCF_001281695.1	bacterium 336/3	bacterium
Bacteroidales_bacterium_6E	GCF_001270045.2	Bacteroidales bacterium	Bacteroidales
Bacteroides_neonati	GCF_000499785.1	Bacteroides neonati	Bacteroides
